filter_combination,enabled_filters,documents_passed,documents_failed,retention_rate,rejection_rate
baseline,,6,0,1.0,0.0
word_count,word_count,6,0,1.0,0.0
avg_word_length,avg_word_length,6,0,1.0,0.0
language,language,6,0,1.0,0.0
repetition,repetition,6,0,1.0,0.0
perplexity,perplexity,6,0,1.0,0.0
resolution,resolution,6,0,1.0,0.0
aspect_ratio,aspect_ratio,6,0,1.0,0.0
format,format,6,0,1.0,0.0
duplicate_detection,duplicate_detection,6,0,1.0,0.0
clip_alignment,clip_alignment,6,0,1.0,0.0
all_filters,"word_count,repetition,resolution,avg_word_length,perplexity,format,language,duplicate_detection,aspect_ratio,clip_alignment",6,0,1.0,0.0
